max(MURDER),STATE,DISTRICT,Year
1253,ASSAM,TOTAL,2002
61,BIHAR,ARARIA,2002
44,BIHAR,ARWAL,2002
96,BIHAR,AURANGABAD,2002
27,BIHAR,BAGAHA,2002
100,BIHAR,BANKA,2002
138,BIHAR,BEGUSARAI,2002
100,BIHAR,BETTIAH,2002
48,BIHAR,BHABHUA,2002
107,BIHAR,BHAGALPUR,2002
147,BIHAR,BHOJPUR,2002
60,BIHAR,BUXAR,2002
72,BIHAR,DARBHANGA,2002
218,BIHAR,GAYA,2002
69,BIHAR,GOPALGANJ,2002
6,BIHAR,"JAMALPUR RLY.",2002
56,BIHAR,JAMUI,2002
73,BIHAR,JEHANABAD,2002
67,BIHAR,KATIHAR,2002
14,BIHAR,"KATIHAR RLY.",2002
66,BIHAR,KHAGARIA,2002
30,BIHAR,KISHANGANJ,2002
67,BIHAR,LAKHISARAI,2002
50,BIHAR,MADHEPURA,2002
66,BIHAR,MADHUBANI,2002
97,BIHAR,MOTIHARI,2002
63,BIHAR,MUNGER,2002
130,BIHAR,MUZAFFARPUR,2002
18,BIHAR,"MUZAFFARPUR RLY.",2002
175,BIHAR,NALANDA,2002
35,BIHAR,NAUGACHIA,2002
69,BIHAR,NAWADAH,2002
472,BIHAR,PATNA,2002
29,BIHAR,"PATNA RLY.",2002
96,BIHAR,PURNEA,2002
132,BIHAR,ROHTAS,2002
39,BIHAR,SAHARSA,2002
119,BIHAR,SAMASTIPUR,2002
100,BIHAR,SARAN,2002
33,BIHAR,SHEIKHPURA,2002
10,BIHAR,SHEOHAR,2002
54,BIHAR,SITAMARHI,2002
117,BIHAR,SIWAN,2002
43,BIHAR,SUPAUL,2002
99,BIHAR,VAISHALI,2002
3712,BIHAR,TOTAL,2002
30,CHHATTISGARH,BALRAMPUR,2002
56,CHHATTISGARH,BILASPUR,2002
19,CHHATTISGARH,BIZAPUR,2002
59,CHHATTISGARH,DANTEWARA,2002
16,CHHATTISGARH,DHAMTARI,2002
72,CHHATTISGARH,DURG,2002
2,CHHATTISGARH,"GRP RAIPUR",2002
70,CHHATTISGARH,JAGDALPUR,2002
43,CHHATTISGARH,JANJGIR,2002
54,CHHATTISGARH,JASHPUR,2002
18,CHHATTISGARH,KABIRDHAM,2002
35,CHHATTISGARH,KANKER,2002
40,CHHATTISGARH,KORBA,2002
21,CHHATTISGARH,KORIYA,2002
15,CHHATTISGARH,MAHASAMUND,2002
56,CHHATTISGARH,RAIGARH,2002
86,CHHATTISGARH,RAIPUR,2002
51,CHHATTISGARH,RAJNANDGAON,2002
101,CHHATTISGARH,SARGUJA,2002
844,CHHATTISGARH,TOTAL,2002
18,GOA,"NORTH GOA",2002
12,GOA,"SOUTH GOA",2002
30,GOA,TOTAL,2002
222,GUJARAT,"AHMEDABAD COMMR.",2002
63,GUJARAT,"AHMEDABAD RURAL",2002
6,GUJARAT,AHWA-DANG,2002
21,GUJARAT,AMRELI,2002
48,GUJARAT,ANAND,2002
47,GUJARAT,BHARUCH,2002
59,GUJARAT,BHAVNAGAR,2002
64,GUJARAT,DAHOD,2002
31,GUJARAT,GANDHINAGAR,2002
71,GUJARAT,HIMATNAGAR,2002
39,GUJARAT,JAMNAGAR,2002
55,GUJARAT,JUNAGADH,2002
56,GUJARAT,"KHEDA NORTH",2002
35,GUJARAT,KUTCH,2002
49,GUJARAT,MEHSANA,2002
16,GUJARAT,NARMADA,2002
26,GUJARAT,NAVSARI,2002
38,GUJARAT,PALANPUR,2002
83,GUJARAT,PANCHMAHAL,2002
24,GUJARAT,PATAN,2002
7,GUJARAT,PORBANDAR,2002
35,GUJARAT,"RAJKOT COMMR.",2002
41,GUJARAT,"RAJKOT RURAL",2002
81,GUJARAT,"SURAT COMMR.",2002
78,GUJARAT,"SURAT RURAL",2002
40,GUJARAT,SURENDRANAGAR,2002
56,GUJARAT,"VADODARA COMMR.",2002
81,GUJARAT,"VADODARA RURAL",2002
39,GUJARAT,VALSAD,2002
21,GUJARAT,W.RLY,2002
1532,GUJARAT,TOTAL,2002
25,HARYANA,AMBALA,2002
35,HARYANA,BHIWANI,2002
57,HARYANA,FARIDABAD,2002
16,HARYANA,FATEHABAD,2002
25,HARYANA,GRP,2002
66,HARYANA,GURGAON,2002
52,HARYANA,HISSAR,2002
41,HARYANA,JHAJJAR,2002
33,HARYANA,JIND,2002
26,HARYANA,KAITHAL,2002
39,HARYANA,KARNAL,2002
31,HARYANA,KURUKSHETRA,2002
21,HARYANA,MAHENDRAGARH,2002
7,HARYANA,PANCHKULA,2002
46,HARYANA,PANIPAT,2002
21,HARYANA,REWARI,2002
63,HARYANA,ROHTAK,2002
43,HARYANA,SIRSA,2002
82,HARYANA,SONIPAT,2002
31,HARYANA,YAMUNANAGAR,2002
760,HARYANA,TOTAL,2002
11,"HIMACHAL PRADESH",BILASPUR,2002
15,"HIMACHAL PRADESH",CHAMBA,2002
0,"HIMACHAL PRADESH",G.R.P.,2002
8,"HIMACHAL PRADESH",HAMIRPUR,2002
28,"HIMACHAL PRADESH",KANGRA,2002
2,"HIMACHAL PRADESH",KINNAUR,2002
8,"HIMACHAL PRADESH",KULLU,2002
2,"HIMACHAL PRADESH",LAHAUL-SPITI,2002
5,"HIMACHAL PRADESH",MANDI,2002
15,"HIMACHAL PRADESH",SHIMLA,2002
9,"HIMACHAL PRADESH",SIRMAUR,2002
7,"HIMACHAL PRADESH",SOLAN,2002
13,"HIMACHAL PRADESH",UNA,2002
123,"HIMACHAL PRADESH",TOTAL,2002
86,"JAMMU & KASHMIR",ANANTNAG,2002
26,"JAMMU & KASHMIR",AWANTIPORA,2002
121,"JAMMU & KASHMIR",BARAMULLA,2002
7,"JAMMU & KASHMIR",BORDER,2002
46,"JAMMU & KASHMIR",BUDGAM,2002
1,"JAMMU & KASHMIR","CRIME JAMMU",2002
1,"JAMMU & KASHMIR","CRIME SRINAGAR",2002
105,"JAMMU & KASHMIR",DODA,2002
22,"JAMMU & KASHMIR",GANDERBAL,2002
47,"JAMMU & KASHMIR",HANDWARA,2002
23,"JAMMU & KASHMIR",JAMMU,2002
0,"JAMMU & KASHMIR",KARGIL,2002
15,"JAMMU & KASHMIR",KATHUA,2002
41,"JAMMU & KASHMIR",KULGAM,2002
56,"JAMMU & KASHMIR",KUPWARA,2002
6,"JAMMU & KASHMIR",LEH,2002
84,"JAMMU & KASHMIR",POONCH,2002
55,"JAMMU & KASHMIR",PULWAMA,2002
2,"JAMMU & KASHMIR",RAILWAYS,2002
97,"JAMMU & KASHMIR",RAJOURI,2002
62,"JAMMU & KASHMIR",RAMBAN,2002
45,"JAMMU & KASHMIR",REASI,2002
86,"JAMMU & KASHMIR",SRINAGAR,2002
14,"JAMMU & KASHMIR",UDHAMPUR,2002
1048,"JAMMU & KASHMIR",TOTAL,2002
58,JHARKHAND,BOKARO,2002
134,JHARKHAND,CHAIBASA,2002
31,JHARKHAND,CHATRA,2002
36,JHARKHAND,DEOGHAR,2002
88,JHARKHAND,DHANBAD,2002
5,JHARKHAND,"DHANBAD RLY.",2002
67,JHARKHAND,DUMKA,2002
39,JHARKHAND,GARHWA,2002
72,JHARKHAND,GIRIDIH,2002
31,JHARKHAND,GODDA,2002
108,JHARKHAND,GUMLA,2002
86,JHARKHAND,HAZARIBAGH,2002
81,JHARKHAND,JAMSHEDPUR,2002
2,JHARKHAND,"JAMSHEDPUR RLY.",2002
18,JHARKHAND,JAMTARA,2002
30,JHARKHAND,KODERMA,2002
43,JHARKHAND,LATEHAR,2002
44,JHARKHAND,LOHARDAGGA,2002
37,JHARKHAND,PAKUR,2002
69,JHARKHAND,PALAMU,2002
270,JHARKHAND,RANCHI,2002
45,JHARKHAND,SAHEBGANJ,2002
51,JHARKHAND,SARAIKELA,2002
43,JHARKHAND,SIMDEGA,2002
1488,JHARKHAND,TOTAL,2002
51,KARNATAKA,BAGALKOT,2002
201,KARNATAKA,"BANGALORE COMMR.",2002
153,KARNATAKA,"BANGALORE RURAL",2002
113,KARNATAKA,BELGAUM,2002
62,KARNATAKA,BELLARY,2002
49,KARNATAKA,BIDAR,2002
62,KARNATAKA,BIJAPUR,2002
29,KARNATAKA,CHAMARAJNAGAR,2002
36,KARNATAKA,CHICKMAGALUR,2002
37,KARNATAKA,CHITRADURGA,2002
26,KARNATAKA,"DAKSHIN KANNADA",2002
57,KARNATAKA,DAVANAGERE,2002
17,KARNATAKA,"DHARWAD COMMR.",2002
35,KARNATAKA,"DHARWAD RURAL",2002
15,KARNATAKA,GADAG,2002
79,KARNATAKA,GULBARGA,2002
74,KARNATAKA,HASSAN,2002
18,KARNATAKA,HAVERI,2002
14,KARNATAKA,K.G.F.,2002
35,KARNATAKA,KODAGU,2002
73,KARNATAKA,KOLAR,2002
19,KARNATAKA,KOPPAL,2002
61,KARNATAKA,MANDYA,2002
22,KARNATAKA,"MYSORE COMMR.",2002
62,KARNATAKA,"MYSORE RURAL",2002
59,KARNATAKA,RAICHUR,2002
14,KARNATAKA,RAILWAYS,2002
53,KARNATAKA,SHIMOGA,2002
58,KARNATAKA,TUMKUR,2002
